Signal_Date,Asset,Previous_Target_Weight,New_Target_Weight,Trade_Weight,Trade_Direction,Turnover_Contribution,Defensive_Overlay_Active,Turnover_Limit_Exception,Turnover_Exception_Reason,Execution_Rule
2024-05-31,XLF,0.0,0.0,0.0,HOLD,0.0,False,False,INITIAL_DEPLOYMENT,Next trading session after signal date
2024-05-31,XLK,0.0,0.4097516161700785,0.4097516161700785,BUY,0.20487580808503925,False,False,INITIAL_DEPLOYMENT,Next trading session after signal date
2024-05-31,XLE,0.0,0.5461548271600833,0.5461548271600833,BUY,0.2730774135800417,False,False,INITIAL_DEPLOYMENT,Next trading session after signal date
2024-05-31,CASH,1.0,0.04409355666983816,-0.9559064433301618,SELL,0.4779532216650809,False,False,INITIAL_DEPLOYMENT,Next trading session after signal date
2024-06-28,XLF,0.0,0.0,0.0,HOLD,0.0,False,True,MANDATORY_SIGNAL_EXIT,Next trading session after signal date
2024-06-28,XLK,0.4097516161700785,0.6,0.19024838382992149,BUY,0.09512419191496074,False,True,MANDATORY_SIGNAL_EXIT,Next trading session after signal date
2024-06-28,XLE,0.5461548271600833,0.0,-0.5461548271600833,SELL,0.2730774135800417,False,True,MANDATORY_SIGNAL_EXIT,Next trading session after signal date
2024-06-28,CASH,0.04409355666983816,0.4,0.35590644333016186,BUY,0.17795322166508093,False,True,MANDATORY_SIGNAL_EXIT,Next trading session after signal date
2024-07-31,XLF,0.0,0.0,0.0,HOLD,0.0,False,True,MANDATORY_SIGNAL_EXIT,Next trading session after signal date
2024-07-31,XLK,0.6,0.0,-0.6,SELL,0.3,False,True,MANDATORY_SIGNAL_EXIT,Next trading session after signal date
2024-07-31,XLE,0.0,0.0,0.0,HOLD,0.0,False,True,MANDATORY_SIGNAL_EXIT,Next trading session after signal date
2024-07-31,CASH,0.4,1.0,0.6,BUY,0.3,False,True,MANDATORY_SIGNAL_EXIT,Next trading session after signal date
2024-08-30,XLF,0.0,0.0,0.0,HOLD,0.0,False,False,NONE,Next trading session after signal date
2024-08-30,XLK,0.0,0.0,0.0,HOLD,0.0,False,False,NONE,Next trading session after signal date
2024-08-30,XLE,0.0,0.0,0.0,HOLD,0.0,False,False,NONE,Next trading session after signal date
2024-08-30,CASH,1.0,1.0,0.0,HOLD,0.0,False,False,NONE,Next trading session after signal date
2024-09-30,XLF,0.0,0.0,0.0,HOLD,0.0,False,False,NONE,Next trading session after signal date
2024-09-30,XLK,0.0,0.0,0.0,HOLD,0.0,False,False,NONE,Next trading session after signal date
2024-09-30,XLE,0.0,0.0,0.0,HOLD,0.0,False,False,NONE,Next trading session after signal date
