Signal_Date,Execution_Date,One_Way_Turnover,Risky_Trade_Notional,Transaction_Cost_Bps,Slippage_Bps,Transaction_Cost_Fraction,Slippage_Fraction,Total_Trading_Cost_Fraction,Gross_Exposure_After_Rebalance,PreTrade_XLF,PreTrade_XLK,PreTrade_XLE,PreTrade_CASH,Target_XLF,Target_XLK,Target_XLE,Target_CASH
2024-05-31,2024-06-03,0.9559064433301618,0.9559064433301618,5.0,5.0,0.0004779532216650809,0.0004779532216650809,0.0009559064433301618,0.9559064433301618,0.0,0.0,0.0,1.0,0.0,0.4097516161700785,0.5461548271600833,0.0440935566698381
2024-06-28,2024-07-01,0.531227253659672,0.7047959545725992,5.0,5.0,0.00035239797728629964,0.00035239797728629964,0.0007047959545725993,0.6,0.0,0.42643129908707283,0.531227253659672,0.04234144725325503,0.0,0.6,0.0,0.4
2024-07-31,2024-08-01,0.5809156329033296,0.5809156329033297,5.0,5.0,0.0002904578164516649,0.0002904578164516649,0.0005809156329033298,0.0,0.0,0.5809156329033297,0.0,0.4190843670966704,0.0,0.0,0.0,1.0
2024-08-30,2024-09-03,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2024-09-30,2024-10-01,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2024-10-31,2024-11-01,0.49979999999999997,0.4997999999999999,5.0,5.0,0.00024989999999999995,0.00024989999999999995,0.0004997999999999999,0.4997999999999999,0.0,0.0,0.0,1.0,0.4997999999999999,0.0,0.0,0.5002
2024-11-29,2024-12-02,0.5212941893165424,1.020897027497443,5.0,5.0,0.0005104485137487215,0.0005104485137487215,0.001020897027497443,0.49960283818090045,0.5212941893165424,0.0,0.0,0.47870581068345763,0.0,0.2726448917107115,0.226957946470189,0.5003971618190994
2024-12-31,2025-01-02,0.35171028495823325,0.3517102849582332,5.0,5.0,0.0001758551424791166,0.0001758551424791166,0.0003517102849582332,0.840429375570543,0.0,0.27432472467860386,0.21439436593370592,0.5112809093876903,0.0,0.4631306698706761,0.3772987056998669,0.159570624429457
2025-01-31,2025-02-03,0.3846769470543265,0.47261607297976593,5.0,5.0,0.00023630803648988293,0.00023630803648988293,0.00047261607297976587,0.5433935784530027,0.0,0.45545445252756334,0.38467694705432653,0.1598686004181102,0.0,0.5433935784530027,0.0,0.4566064215469972
2025-02-28,2025-03-03,0.5425563867375509,1.0758935747620704,5.0,5.0,0.0005379467873810352,0.0005379467873810352,0.0010758935747620705,0.5425563867375508,0.0,0.5333371880245196,0.0,0.46666281197548054,0.3176997716935501,0.0,0.2248566150440007,0.4574436132624491
