Date,Strategy,Gross_Return,Net_Return,Trading_Cost_Drag,Equity,Drawdown,Gross_Exposure,Rebalanced,Signal_Date,One_Way_Turnover,Risky_Trade_Notional,Transaction_Cost_Fraction,Slippage_Fraction,Total_Trading_Cost_Fraction
2024-06-03,Week7_Strategy_Net,0.0,-0.0009559064433302122,0.0009559064433302122,0.9990440935566698,-0.0009559064433302122,0.9559064433301618,True,2024-05-31,0.9559064433301618,0.9559064433301618,0.0004779532216650809,0.0004779532216650809,0.0009559064433301618
2024-06-04,Week7_Strategy_Net,-0.004379523121578168,-0.004379523121578188,1.9949319973733282e-17,0.9946687568494622,-0.00533124315053779,0.9557124851348127,False,,0.0,0.0,0.0,0.0,0.0
2024-06-05,Week7_Strategy_Net,0.009100870613064043,0.009100870613063972,7.112366251504909e-17,1.0037211085084063,0.0,0.9561119050087814,False,,0.0,0.0,0.0,0.0,0.0
2024-06-06,Week7_Strategy_Net,0.0014212572557835185,0.001421257255783459,5.941427905220564e-17,1.0051476544166569,0.0,0.9561741927553187,False,,0.0,0.0,0.0,0.0,0.0
2024-06-07,Week7_Strategy_Net,-0.0011867157072395066,-0.001186715707239494,-1.2576745200831851e-17,1.0039548299070657,-0.001186715707239494,0.9561221221885194,False,,0.0,0.0,0.0,0.0,0.0
2024-06-10,Week7_Strategy_Net,0.005136407636650831,0.005136407636650908,-7.719519468096792e-17,1.009111551162253,0.0,0.9563463451546348,False,,0.0,0.0,0.0,0.0,0.0
2024-06-11,Week7_Strategy_Net,0.006667645748893869,0.006667645748893891,-2.2551405187698492e-17,1.0158399495065198,0.0,0.9566354843828424,False,,0.0,0.0,0.0,0.0,0.0
2024-06-12,Week7_Strategy_Net,0.003574175622306339,0.0035741756223064414,-1.0234868508263162e-16,1.019470739890211,0.0,0.9567899247803305,False,,0.0,0.0,0.0,0.0,0.0
2024-06-13,Week7_Strategy_Net,-0.0014431223066506283,-0.0014431223066507792,1.5092094240998222e-16,1.0179995189244977,-0.0014431223066507792,0.9567274772374669,False,,0.0,0.0,0.0,0.0,0.0
2024-06-14,Week7_Strategy_Net,-0.002275218581690216,-0.0022752185816902193,3.469446951953614e-18,1.015683347502889,-0.0037150574696531713,0.9566287982733883,False,,0.0,0.0,0.0,0.0,0.0
2024-06-17,Week7_Strategy_Net,0.00796083036580601,0.007960830365806082,-7.112366251504909e-17,1.0237690303377336,0.0,0.9569713421196421,False,,0.0,0.0,0.0,0.0,0.0
2024-06-18,Week7_Strategy_Net,0.002723235841146975,0.002723235841146865,1.1015494072452725e-16,1.0265569948542055,0.0,0.9570882010685006,False,,0.0,0.0,0.0,0.0,0.0
2024-06-20,Week7_Strategy_Net,0.0046246493991904366,0.004624649399190384,5.2909066017292616e-17,1.0313044610436928,0.0,0.9572857395474392,False,,0.0,0.0,0.0,0.0,0.0
2024-06-21,Week7_Strategy_Net,-0.0037848184994694273,-0.0037848184994694334,6.071532165918825e-18,1.0274011608409492,-0.0037848184994694334,0.957123459624232,False,,0.0,0.0,0.0,0.0,0.0
2024-06-24,Week7_Strategy_Net,0.0026521271561924954,0.002652127156192563,-6.765421556309548e-17,1.0301259593599192,-0.0011427291632006842,0.957236872874964,False,,0.0,0.0,0.0,0.0,0.0
2024-06-25,Week7_Strategy_Net,0.008944215495353375,0.008944215495353403,-2.7755575615628914e-17,1.039339627927792,0.0,0.9576159648191838,False,,0.0,0.0,0.0,0.0,0.0
2024-06-26,Week7_Strategy_Net,-0.00573446982217836,-0.005734469822178401,4.0766001685454967e-17,1.033379566196446,-0.005734469822178401,0.9573715130471876,False,,0.0,0.0,0.0,0.0,0.0
2024-06-27,Week7_Strategy_Net,0.0014387758006581587,0.0014387758006582096,-5.095750210681871e-17,1.034866367709184,-0.004303944637929935,0.9574327577652159,False,,0.0,0.0,0.0,0.0,0.0
2024-06-28,Week7_Strategy_Net,0.0018237488525552838,0.001823748852555207,7.676151381197371e-17,1.0367537040598416,-0.00248804509946976,0.9575102484009399,False,,0.0,0.0,0.0,0.0,0.0
2024-07-01,Week7_Strategy_Net,0.0035025809325299763,0.00279531637308561,0.0007072645594443662,1.039651758663657,0.0,0.6,True,2024-06-28,0.531227253659672,0.7047959545725992,0.00035239797728629964,0.00035239797728629964,0.0007047959545725993
2024-07-02,Week7_Strategy_Net,0.00300082099275126,0.0030008209927512297,3.0357660829594124e-17,1.0427715674862057,0.0,0.6011967372029791,False,,0.0,0.0,0.0,0.0,0.0
2024-07-03,Week7_Strategy_Net,0.008109408406937723,0.008109408406937746,-2.2551405187698492e-17,1.051227828002094,0.0,0.6044047804025272,False,,0.0,0.0,0.0,0.0,0.0
2024-07-05,Week7_Strategy_Net,0.001848371883754736,0.0018483718837547514,-1.5395670849294163e-17,1.0531708879627935,0.0,0.6051346384347132,False,,0.0,0.0,0.0,0.0,0.0
2024-07-08,Week7_Strategy_Net,0.004131529547352153,0.004131529547352075,7.806255641895632e-17,1.0575220946048227,0.0,0.6067593239072112,False,,0.0,0.0,0.0,0.0,0.0
2024-07-09,Week7_Strategy_Net,-0.0004916653818611644,-0.0004916653818611838,1.940721888749053e-17,1.0570021476003522,-0.0004916653818611838,0.6065658859733011,False,,0.0,0.0,0.0,0.0,0.0
2024-07-10,Week7_Strategy_Net,0.008802828329319792,0.008802828329319778,1.3877787807814457e-17,1.0663067560494004,0.0,0.609998997843547,False,,0.0,0.0,0.0,0.0,0.0
2024-07-11,Week7_Strategy_Net,-0.015270525759549645,-0.015270525759549791,1.457167719820518e-16,1.050023691263566,-0.015270525759549791,0.6039511232693916,False,,0.0,0.0,0.0,0.0,0.0
2024-07-12,Week7_Strategy_Net,0.0053949357561352326,0.005394935756135144,8.847089727481716e-17,1.055688501620353,-0.009957973508849749,0.6060763162361179,False,,0.0,0.0,0.0,0.0,0.0
2024-07-15,Week7_Strategy_Net,0.001088811248668682,0.001088811248668664,1.7997756063259374e-17,1.0568379471360074,-0.00888000461375138,0.6065047582815984,False,,0.0,0.0,0.0,0.0,0.0
