Signal_Date,Weights_Sum_To_One,Long_Only,Sector_Cap_OK,Turnover_Limit_OK,Volatility_Target_OK,Drawdown_Control_OK,Maximum_Sector_Weight,One_Way_Turnover,Turnover_Limit_Exception,Turnover_Exception_Reason,Pre_Rebalance_Drawdown,Final_Gross_Exposure,All_Constraints_OK
2024-05-31,True,True,True,True,True,True,0.5461548271600833,0.9559064433301618,False,INITIAL_DEPLOYMENT,0.0,0.9559064433301618,True
2024-06-28,True,True,True,True,True,True,0.6,0.5461548271600833,True,MANDATORY_SIGNAL_EXIT,-0.0025064949710964513,0.6,True
2024-07-31,True,True,True,True,True,True,0.0,0.6,True,MANDATORY_SIGNAL_EXIT,-0.04758179390097206,0.0,True
2024-08-30,True,True,True,True,True,True,0.0,0.0,False,NONE,-0.04758179390097206,0.0,True
2024-09-30,True,True,True,True,True,True,0.0,0.0,False,NONE,-0.04758179390097206,0.0,True
2024-10-31,True,True,True,True,True,True,0.49979999999999997,0.4998,False,NONE,-0.04758179390097206,0.49979999999999997,True
2024-11-29,True,True,True,True,True,True,0.27264489171071155,0.4998,False,NONE,0.0,0.4996028381809006,True
2024-12-31,True,True,True,True,True,True,0.4631306698706761,0.3408265373896424,False,NONE,-0.024138852035521907,0.840429375570543,True
2025-01-31,True,True,True,True,True,True,0.5433935784530027,0.3772987056998669,False,NONE,-0.03945337500201229,0.5433935784530027,True
2025-02-28,True,True,True,True,True,True,0.3176997716935501,0.5433935784530026,True,MANDATORY_SIGNAL_EXIT,-0.050988577669219604,0.5425563867375509,True
2025-03-31,True,True,True,True,True,True,0.4187774246460419,0.23399731485341335,False,NONE,-0.055965389404816324,0.7765537015909643,True
2025-04-30,True,True,True,True,True,True,0.0,0.7765537015909643,True,MANDATORY_SIGNAL_EXIT,-0.1176235430275171,0.0,True
2025-05-30,True,True,True,True,True,True,0.17959239985406697,0.3170452339040267,False,NONE,-0.1176235430275171,0.3170452339040267,True
2025-06-30,True,True,True,True,True,True,0.28785140882562515,0.13745283404995973,False,NONE,-0.09643250857611352,0.28785140882562515,True
2025-07-31,True,True,True,True,True,True,0.4460067289413496,0.4993907000150901,False,NONE,-0.08670304409262297,0.7872421088407153,True
2025-08-29,True,True,True,True,True,True,0.6,0.34123537989936575,False,NONE,-0.07736162034721306,0.6,True
2025-09-30,True,True,True,True,True,True,0.5373913670618922,0.4626086329381077,False,NONE,-0.036095591291954277,0.9999999999999999,True
2025-10-31,True,True,True,True,True,True,0.5155634857788012,0.5373913670618922,True,MANDATORY_SIGNAL_EXIT,-0.014394495730077561,0.9818756045131378,True
2025-11-28,True,True,True,True,True,True,0.6,0.46631211873433664,False,NONE,-0.004767253143937333,0.6,True
2025-12-31,True,True,True,True,True,True,0.6,0.6,True,MANDATORY_SIGNAL_EXIT,-0.013957400898341854,0.6,True
2026-01-30,True,True,True,True,True,True,0.4557513047271153,0.4557513047271153,False,NONE,-0.031630950329912366,0.8989993354926833,True
2026-02-27,True,True,True,True,True,True,0.4280740485300472,0.08500476317489886,False,NONE,-0.006471458044074785,0.8139945723177844,True
2026-03-31,True,True,True,True,True,True,0.46268988851078363,0.04673989241465398,False,NONE,0.0,0.8607344647324384,True
2026-04-30,True,True,True,True,True,True,0.4632481766522369,0.8607344647324383,True,MANDATORY_SIGNAL_EXIT,0.0,0.4632481766522369,True
2026-05-29,True,True,True,True,True,True,0.373806637259731,0.3569549062341778,False,NONE,0.0,0.7307615434939089,True
